player_name,club_name,json_club,league_name
Javi Martínez,CA Osasuna,Osasuna,La Liga
Jon García,CA Osasuna,Osasuna,La Liga
Bryan Zaragoza,CA Osasuna,Osasuna,La Liga
Moi Gómez,CA Osasuna,Osasuna,La Liga
José Manuel Arnáiz,CA Osasuna,Osasuna,La Liga
Rubén García,CA Osasuna,Osasuna,La Liga
Iker Benito,CA Osasuna,Osasuna,La Liga
Kike Barja,CA Osasuna,Osasuna,La Liga
Ante Budimir,CA Osasuna,Osasuna,La Liga
Raúl García,CA Osasuna,Osasuna,La Liga
Sixtus Ogbuehi,CA Osasuna,Osasuna,La Liga
Carlos Lumbreras,CA Osasuna,Osasuna,La Liga
Antonio Sivera,Deportivo Alavés,Deportivo Alavés,La Liga
Jesús Owono,Deportivo Alavés,Deportivo Alavés,La Liga
Adrián Rodríguez,Deportivo Alavés,Deportivo Alavés,La Liga
Grégoire Swiderski,Deportivo Alavés,Deportivo Alavés,La Liga
Abdel Abqar,Deportivo Alavés,Deportivo Alavés,La Liga
Facundo Garcés,Deportivo Alavés,Deportivo Alavés,La Liga
Moussa Diarra,Deportivo Alavés,Deportivo Alavés,La Liga
Adrián Pica,Deportivo Alavés,Deportivo Alavés,La Liga
Aleksandar Sedlar,Deportivo Alavés,Deportivo Alavés,La Liga
Manu Sánchez,Deportivo Alavés,Deportivo Alavés,La Liga
Eneko Ortiz,Deportivo Alavés,Deportivo Alavés,La Liga
Santiago Mouriño,Deportivo Alavés,Deportivo Alavés,La Liga
Nahuel Tenaglia,Deportivo Alavés,Deportivo Alavés,La Liga
Hugo Novoa,Deportivo Alavés,Deportivo Alavés,La Liga
Egoitz Muñoz,Deportivo Alavés,Deportivo Alavés,La Liga
Alejandro Jay,Deportivo Alavés,Deportivo Alavés,La Liga
Antonio Blanco,Deportivo Alavés,Deportivo Alavés,La Liga
Carlos Protesoni,Deportivo Alavés,Deportivo Alavés,La Liga
Ander Guevara,Deportivo Alavés,Deportivo Alavés,La Liga
Jon Guridi,Deportivo Alavés,Deportivo Alavés,La Liga
